panel,cohort_label,coord,n_parquet_cells,qc_status,structural_acceptability,sample_type,has_all_primary_inputs
AR,No-NAC,"[40040,5244]",4531.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[40620,7883]",4871.0,Borderline,Borderline,TURBT,True
AR,No-NAC,"[40660,12958]",3596.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[40660,16209]",4451.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[40700,14584]",2009.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[40700,19659]",8328.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[40700,6257]",6325.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[40700,9627]",5857.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[40714,20985]",4606.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[40739,11293]",4045.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[40739,17954]",5923.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[40872,19280]",5070.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[40952,17535]",5309.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[41071,15791]",6287.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[41150,14046]",3886.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[41269,12262]",5816.0,Borderline,Borderline,TURBT,True
AR,No-NAC,"[41427,10557]",6757.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[41467,8812]",6080.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[41665,7028]",9099.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[41824,5165]",6578.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[42365,14663]",1295.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[42365,7922]",9866.0,Borderline,Borderline,TURBT,True
AR,No-NAC,"[42405,11253]",5615.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[42405,12958]",5742.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[42405,17954]",7359.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[42405,9667]",5466.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[42444,16209]",1415.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[42484,19619]",6248.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[42484,6257]",5112.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[42538,21104]",4622.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[42577,19320]",2273.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[42696,17535]",3823.0,Borderline,Borderline,RC,True
AR,No-NAC,"[42855,15830]",6001.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[42894,14125]",7171.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[43053,12341]",6194.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[43132,10636]",6675.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[43291,8852]",5555.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[43450,7028]",5379.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[43568,5284]",5834.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[44110,12958]",6990.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[44110,16288]",7256.0,Borderline,Borderline,TURBT,True
AR,No-NAC,"[44110,17993]",6719.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[44149,11293]",4388.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[44149,14584]",7290.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[44149,6297]",5427.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[44149,7883]",6651.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[44149,9588]",6389.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[44189,19619]",4953.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[44282,21223]",5075.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[44322,19399]",5874.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[44480,17615]",5791.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[44560,15949]",4827.0,Borderline,Borderline,RC,True
AR,No-NAC,"[44718,14205]",7383.0,Acceptable,Acceptable,RC,True
