entity_id,branch,panel,cohort_label,sample_type,coord,qc_status,has_all_primary_inputs,n_parquet_cells,tissue_class,adjusted_area_percent
"TMA|AR|[61692,14435]",TMA,AR,NAC2020,TURBT,"[61692,14435]",Acceptable,True,7700.0,Epi,18.5683817648627
"TMA|AR|[35278,18358]",TMA,AR,NAC2020,TURBT,"[35278,18358]",Acceptable,True,7899.0,Stroma,75.68954457985888
"TMA|AR|[35436,14789]",TMA,AR,NAC2020,TURBT,"[35436,14789]",Acceptable,True,4960.0,Stroma,43.382772390188244
"TMA|AR|[35459,16494]",TMA,AR,NAC2020,TURBT,"[35459,16494]",Acceptable,True,6253.0,Stroma,50.033435870001334
"TMA|AR|[35556,13057]",TMA,AR,NAC2020,TURBT,"[35556,13057]",Acceptable,True,4218.0,Stroma,53.154595171401894
"TMA|AR|[35595,11300]",TMA,AR,NAC2020,TURBT,"[35595,11300]",Acceptable,True,5052.0,Stroma,58.01710637272618
"TMA|AR|[35714,7930]",TMA,AR,NAC2020,TURBT,"[35714,7930]",Acceptable,True,6737.0,Stroma,93.98900115104233
"TMA|AR|[36864,18477]",TMA,AR,NAC2020,TURBT,"[36864,18477]",Acceptable,True,8254.0,Stroma,64.95348837209302
"TMA|AR|[37102,14908]",TMA,AR,NAC2020,TURBT,"[37102,14908]",Acceptable,True,3310.0,Stroma,63.337872597972456
"TMA|AR|[37102,16653]",TMA,AR,NAC2020,TURBT,"[37102,16653]",Acceptable,True,8155.0,Stroma,18.526973447074372
"TMA|AR|[37181,13124]",TMA,AR,NAC2020,TURBT,"[37181,13124]",Acceptable,True,4155.0,Stroma,76.55133772237008
"TMA|AR|[37260,11380]",TMA,AR,NAC2020,TURBT,"[37260,11380]",Acceptable,True,5183.0,Stroma,30.1131625967838
"TMA|AR|[37340,9635]",TMA,AR,NAC2020,TURBT,"[37340,9635]",Acceptable,True,8764.0,Stroma,71.96145124716553
"TMA|AR|[37459,7890]",TMA,AR,NAC2020,TURBT,"[37459,7890]",Acceptable,True,4847.0,Stroma,99.56056833162444
"TMA|AR|[38608,18516]",TMA,AR,NAC2020,TURBT,"[38608,18516]",Acceptable,True,6367.0,Stroma,15.9533527696793
