panel,cohort,sample_type,marker_combo,collapse_label,state,excluded_from_primary,n_cells,total_cells_panel_cohort,cell_fraction_within_panel_cohort
AR,PURE01,RC,CD3+;CD8+;PD1+,cd8_t_cell,PD1,False,85,837544,0.00010148720544831077
AR,PURE01,RC,CD3+;CD8+;PD1+;PDL1+,cd8_t_cell,PD1_PDL1,False,40,837544,4.775868491685213e-05
AR,PURE01,RC,CD68+;PD1+,macrophage,PD1,False,34,837544,4.059488217932431e-05
AR,PURE01,RC,CD3+;PD1+;PDL1+,t_cell,PD1_PDL1,False,25,837544,2.9849178073032582e-05
AR,PURE01,RC,PD1+;PDL1+,stroma,PD1_PDL1,False,9,837544,1.0745704106291729e-05
AR,PURE01,RC,CD68+;PD1+;PDL1+,macrophage,PD1_PDL1,False,3,837544,3.5819013687639096e-06
BT,BLASST,TURBT,ALL_NEG,stroma,None,False,2338708,4539257,0.5152182394607752
BT,BLASST,RC,ALL_NEG,stroma,None,False,1031932,4539257,0.22733500218207517
BT,BLASST,TURBT,PanCK+,tumour,PANCK,False,289317,4539257,0.06373664236239543
BT,BLASST,TURBT,CD3+,t_cell,CD3_T,False,270839,4539257,0.05966593211179715
BT,BLASST,TURBT,CD8+,cd8_t_cell,CD8,False,88330,4539257,0.019459131747772817
BT,BLASST,TURBT,CD20+,b_cell,B_CELL,False,77638,4539257,0.01710368018378338
BT,BLASST,TURBT,FoxP3+,treg_cell,FOXP3,False,63580,4539257,0.014006697571871344
BT,BLASST,RC,PanCK+,tumour,PANCK,False,58963,4539257,0.012989570760148632
BT,BLASST,RC,CD3+,t_cell,CD3_T,False,55139,4539257,0.012147142142425512
BT,BLASST,TURBT,CD3+;CD8+,cd8_t_cell,CD8_T,False,54763,4539257,0.012064309203025958
BT,BLASST,TURBT,CD79a+,plasma_cell,PLASMA_CELL,False,41483,4539257,0.009138720279552358
BT,BLASST,TURBT,CD3+;FoxP3+,treg_cell,TREG,False,38568,4539257,0.008496544698835073
BT,BLASST,RC,CD8+,cd8_t_cell,CD8,False,34849,4539257,0.00767724762004002
BT,BLASST,RC,CD20+,b_cell,B_CELL,False,22178,4539257,0.004885821622349208
BT,BLASST,TURBT,CD20+;CD79a+,b_cell,B_CELL,False,20011,4539257,0.004408430718948057
BT,BLASST,RC,CD3+;CD8+,cd8_t_cell,CD8_T,False,16398,4539257,0.0036124854794518132
BT,BLASST,RC,CD79a+,plasma_cell,PLASMA_CELL,False,12793,4539257,0.0028183026429215176
BT,BLASST,RC,FoxP3+,treg_cell,FOXP3,False,7695,4539257,0.0016952113528711857
BT,BLASST,RC,CD20+;CD79a+,b_cell,B_CELL,False,6237,4539257,0.0013740134123271716
BT,BLASST,RC,CD3+;FoxP3+,treg_cell,TREG,False,4410,4539257,0.0009715246349788082
BT,BLASST,TURBT,CD3+;CD8+;FoxP3+,treg_cell,CD8_FOXP3,False,3792,4539257,0.000835379005859329
BT,BLASST,RC,CD3+;CD8+;FoxP3+,treg_cell,CD8_FOXP3,False,1634,4539257,0.0003599708057948691
BT,NAC2020,TURBT,ALL_NEG,stroma,None,False,340619,914142,0.37261060097884136
BT,NAC2020,TURBT,PanCK+,tumour,PANCK,False,295316,914142,0.32305265483918255
BT,NAC2020,RC,ALL_NEG,stroma,None,False,78744,914142,0.08613979009825606
BT,NAC2020,TURBT,CD3+;CD8+,cd8_t_cell,CD8_T,False,39789,914142,0.04352606050263526
BT,NAC2020,RC,PanCK+,tumour,PANCK,False,38211,914142,0.041799851664183464
BT,NAC2020,TURBT,CD3+,t_cell,CD3_T,False,28343,914142,0.03100502985313004
BT,NAC2020,TURBT,CD79a+,plasma_cell,PLASMA_CELL,False,17258,914142,0.01887890502788407
BT,NAC2020,TURBT,CD3+;FoxP3+,treg_cell,TREG,False,14506,914142,0.015868431819126567
BT,NAC2020,TURBT,CD8+,cd8_t_cell,CD8,False,14175,914142,0.015506343653393017
