prep_root,panel,cohort,sample_type,region_class,label,label_base,excluded_from_primary,n_cells,n_units,mean_cells_per_unit
AR_state,AR,BLASST,RC,Epi,tumor__PDL1,tumor,False,1818,167,10.886227544910179
AR_state,AR,BLASST,RC,Epi,t_cell__PDL1,t_cell,False,464,167,2.7784431137724552
AR_state,AR,BLASST,RC,Epi,stroma__PD1_PDL1,stroma,False,202,167,1.2095808383233533
AR_state,AR,BLASST,RC,Epi,macrophage__PD1_PDL1,macrophage,False,123,167,0.7365269461077845
AR_state,AR,BLASST,RC,Epi,macrophage__PD1,macrophage,False,121,167,0.7245508982035929
AR_state,AR,BLASST,RC,Epi,cd8_t_cell__PDL1,cd8_t_cell,False,86,167,0.5149700598802395
AR_state,AR,BLASST,RC,Epi,t_cell__PD1,t_cell,False,61,167,0.3652694610778443
AR_state,AR,BLASST,RC,Epi,t_cell__PD1_PDL1,t_cell,False,31,167,0.18562874251497005
AR_state,AR,BLASST,RC,Epi,cd8_t_cell__PD1_PDL1,cd8_t_cell,False,2,167,0.011976047904191617
AR_state,AR,BLASST,RC,Epi,cd8_t_cell__PD1,cd8_t_cell,False,1,167,0.005988023952095809
AR_state,AR,BLASST,RC,Stroma,stroma__checkpoint_neg,stroma,False,952592,200,4762.96
AR_state,AR,BLASST,RC,Stroma,tumor__checkpoint_neg,tumor,False,104732,200,523.66
AR_state,AR,BLASST,RC,Stroma,t_cell__checkpoint_neg,t_cell,False,97332,200,486.66
AR_state,AR,BLASST,RC,Stroma,macrophage__checkpoint_neg,macrophage,False,81739,200,408.695
AR_state,AR,BLASST,RC,Stroma,stroma__PDL1,stroma,False,51518,200,257.59
AR_state,AR,BLASST,RC,Stroma,stroma__PD1,stroma,False,11726,200,58.63
AR_state,AR,BLASST,RC,Stroma,t_cell__PDL1,t_cell,False,10445,200,52.225
AR_state,AR,BLASST,RC,Stroma,macrophage__PDL1,macrophage,False,7994,200,39.97
AR_state,AR,BLASST,RC,Stroma,tumor__PDL1,tumor,False,2506,200,12.53
AR_state,AR,BLASST,RC,Stroma,t_cell__PD1,t_cell,False,2481,200,12.405
AR_state,AR,BLASST,RC,Stroma,cd8_t_cell__PDL1,cd8_t_cell,False,1015,200,5.075
AR_state,AR,BLASST,RC,Stroma,stroma__PD1_PDL1,stroma,False,928,200,4.64
AR_state,AR,BLASST,RC,Stroma,macrophage__PD1,macrophage,False,741,200,3.705
AR_state,AR,BLASST,RC,Stroma,t_cell__PD1_PDL1,t_cell,False,628,200,3.14
AR_state,AR,BLASST,RC,Stroma,macrophage__PD1_PDL1,macrophage,False,526,200,2.63
AR_state,AR,BLASST,RC,Stroma,cd8_t_cell__checkpoint_neg,cd8_t_cell,False,50,200,0.25
